open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2019-06-11 04:00:00,0.03590000,0.03800000,0.03000000,0.03455000,28990847.60000000,2019-06-11 04:00:59.999,984097.41507300,1542,19597821.20000000,663809.25481300,0
2019-06-11 04:01:00,0.03455000,0.03500000,0.03329000,0.03425000,16142228.10000000,2019-06-11 04:01:59.999,553720.08745800,775,9291248.00000000,318177.90573700,0
2019-06-11 04:02:00,0.03422000,0.04001000,0.03398000,0.03909000,15153868.80000000,2019-06-11 04:02:59.999,564632.89355900,1034,9951316.70000000,370959.23768400,0
2019-06-11 04:03:00,0.03934000,0.04500000,0.03747000,0.03866000,16523569.30000000,2019-06-11 04:03:59.999,694092.39300200,1859,7968425.50000000,338042.55075000,0
2019-06-11 04:04:00,0.03869000,0.04056000,0.03775000,0.03901000,10979455.10000000,2019-06-11 04:04:59.999,435112.33256400,948,5208991.30000000,207369.65664000,0
2019-06-11 04:05:00,0.03953000,0.04206000,0.03901000,0.04043000,7644372.20000000,2019-06-11 04:05:59.999,310104.94881700,678,3908104.60000000,159058.34011100,0
2019-06-11 04:06:00,0.04065000,0.04302000,0.04001000,0.04151000,8820077.70000000,2019-06-11 04:06:59.999,365220.13659200,710,5826220.10000000,241129.47617300,0
2019-06-11 04:07:00,0.04173000,0.04268000,0.04097000,0.04124000,8792686.80000000,2019-06-11 04:07:59.999,366318.89830700,732,3668848.90000000,153422.84926400,0
2019-06-11 04:08:00,0.04128000,0.04164000,0.03975000,0.03997000,6360522.50000000,2019-06-11 04:08:59.999,258557.80780700,432,1686314.30000000,68368.38899000,0
2019-06-11 04:09:00,0.03991000,0.04080000,0.03901000,0.04051000,6868734.40000000,2019-06-11 04:09:59.999,274877.55365000,742,3373816.90000000,135227.02165100,0
2019-06-11 04:10:00,0.04052000,0.04108000,0.04000000,0.04105000,4419843.90000000,2019-06-11 04:10:59.999,178779.42774600,352,1889346.50000000,76765.88766700,0
2019-06-11 04:11:00,0.04105000,0.04105000,0.04018000,0.04063000,3198395.50000000,2019-06-11 04:11:59.999,129849.39531400,223,494604.60000000,20010.05152400,0
2019-06-11 04:12:00,0.04068000,0.04084000,0.04019000,0.04056000,1684263.50000000,2019-06-11 04:12:59.999,68290.50533400,190,561383.20000000,22766.75654900,0
2019-06-11 04:13:00,0.04052000,0.04055000,0.03838000,0.03869000,8901546.80000000,2019-06-11 04:13:59.999,352446.18837300,708,1711615.80000000,67679.46467200,0
2019-06-11 04:14:00,0.03868000,0.03990000,0.03868000,0.03935000,4968039.20000000,2019-06-11 04:14:59.999,194574.92954900,536,2965955.60000000,116512.59969100,0
2019-06-11 04:15:00,0.03936000,0.03936000,0.03846000,0.03871000,2407239.90000000,2019-06-11 04:15:59.999,93687.08047500,285,770622.00000000,30077.78170900,0
2019-06-11 04:16:00,0.03882000,0.03906000,0.03850000,0.03901000,2778841.70000000,2019-06-11 04:16:59.999,107955.80804300,238,1400814.90000000,54445.75570700,0
2019-06-11 04:17:00,0.03871000,0.03896000,0.03734000,0.03743000,5938372.00000000,2019-06-11 04:17:59.999,225095.75166700,498,901292.80000000,34102.86901200,0
2019-06-11 04:18:00,0.03743000,0.03780000,0.03700000,0.03706000,4835638.30000000,2019-06-11 04:18:59.999,181203.92965300,537,1905681.70000000,71601.40631400,0
2019-06-11 04:19:00,0.03705000,0.03827000,0.03705000,0.03790000,4853694.20000000,2019-06-11 04:19:59.999,183525.87078400,573,2560297.20000000,96895.65597300,0
2019-06-11 04:20:00,0.03791000,0.03850000,0.03730000,0.03811000,3498593.10000000,2019-06-11 04:20:59.999,132406.65083700,361,1609498.10000000,61096.45038600,0
2019-06-11 04:21:00,0.03813000,0.03859000,0.03800000,0.03800000,3820461.10000000,2019-06-11 04:21:59.999,145881.37530400,293,1634800.00000000,62663.38288300,0
2019-06-11 04:22:00,0.03800000,0.03800000,0.03772000,0.03776000,2985639.70000000,2019-06-11 04:22:59.999,113083.49619000,206,1037128.40000000,39354.42673500,0
2019-06-11 04:23:00,0.03777000,0.03900000,0.03774000,0.03890000,6505385.10000000,2019-06-11 04:23:59.999,248082.74696100,468,4575282.50000000,174910.73890500,0
2019-06-11 04:24:00,0.03890000,0.03950000,0.03840000,0.03930000,6753829.90000000,2019-06-11 04:24:59.999,263530.33074600,535,4076624.30000000,159201.93728000,0
2019-06-11 04:25:00,0.03930000,0.04000000,0.03906000,0.03937000,4408181.80000000,2019-06-11 04:25:59.999,174460.50042600,635,2685053.50000000,106299.91959100,0
2019-06-11 04:26:00,0.03943000,0.03970000,0.03880000,0.03904000,3635930.50000000,2019-06-11 04:26:59.999,142862.96862700,323,687564.60000000,27016.64487500,0
2019-06-11 04:27:00,0.03901000,0.03936000,0.03899000,0.03911000,4025829.80000000,2019-06-11 04:27:59.999,157130.91070300,312,588756.60000000,23016.14818500,0
2019-06-11 04:28:00,0.03915000,0.03988000,0.03913000,0.03946000,2318119.00000000,2019-06-11 04:28:59.999,91556.95357200,202,1356669.60000000,53658.02940300,0
2019-06-11 04:29:00,0.03944000,0.03947000,0.03917000,0.03942000,1025658.50000000,2019-06-11 04:29:59.999,40360.36345900,130,441126.30000000,17366.21813700,0
2019-06-11 04:30:00,0.03942000,0.03985000,0.03942000,0.03974000,2783915.30000000,2019-06-11 04:30:59.999,110415.30137100,240,1216719.00000000,48263.17371500,0
2019-06-11 04:31:00,0.03977000,0.03982000,0.03881000,0.03881000,2298398.30000000,2019-06-11 04:31:59.999,89956.67519300,252,338003.30000000,13236.46743400,0
2019-06-11 04:32:00,0.03880000,0.03905000,0.03822000,0.03823000,2950738.40000000,2019-06-11 04:32:59.999,114018.94677900,365,691181.10000000,26751.64783200,0
2019-06-11 04:33:00,0.03823000,0.03872000,0.03810000,0.03865000,1580525.20000000,2019-06-11 04:33:59.999,60709.29880000,184,977714.70000000,37626.24066100,0
2019-06-11 04:34:00,0.03858000,0.03866000,0.03838000,0.03854000,432475.50000000,2019-06-11 04:34:59.999,16667.13089300,119,119191.70000000,4598.71493000,0
