open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2020-07-23 14:00:00,509.50000000,578.00000000,509.50000000,578.00000000,531.91124000,2020-07-23 14:00:59.999,291960.57504480,933,453.47975000,249110.59334430,0
2020-07-23 14:01:00,578.00000000,665.76000000,570.00000000,660.51000000,437.48819000,2020-07-23 14:01:59.999,271155.78199110,931,304.60806000,189562.71035530,0
2020-07-23 14:02:00,664.41000000,717.26000000,627.19000000,717.26000000,228.85940000,2020-07-23 14:02:59.999,151627.07219840,519,135.07608000,90238.19247970,0
2020-07-23 14:03:00,717.26000000,772.27000000,682.12000000,700.87000000,196.54637000,2020-07-23 14:03:59.999,141359.27247240,668,121.64904000,87783.67603450,0
2020-07-23 14:04:00,716.12000000,827.63000000,700.88000000,812.18000000,159.54267000,2020-07-23 14:04:59.999,120637.17622240,701,112.30317000,84999.09499210,0
2020-07-23 14:05:00,812.17000000,812.18000000,736.76000000,785.00000000,162.61755000,2020-07-23 14:05:59.999,125499.42412750,640,106.16706000,82532.38122090,0
2020-07-23 14:06:00,779.80000000,845.00000000,779.80000000,813.18000000,155.49766000,2020-07-23 14:06:59.999,124538.98341680,408,98.89828000,79288.44294280,0
2020-07-23 14:07:00,810.56000000,819.99000000,740.00000000,755.62000000,218.93731000,2020-07-23 14:07:59.999,169004.48618040,578,49.89473000,38342.01451820,0
2020-07-23 14:08:00,752.45000000,763.82000000,638.44000000,645.62000000,421.94921000,2020-07-23 14:08:59.999,287014.27893590,966,217.57252000,144416.71603940,0
2020-07-23 14:09:00,650.00000000,664.13000000,611.01000000,664.13000000,266.80790000,2020-07-23 14:09:59.999,170021.86843510,503,159.31316000,101453.43199570,0
2020-07-23 14:10:00,663.73000000,667.65000000,590.03000000,603.95000000,425.97650000,2020-07-23 14:10:59.999,267314.72997490,807,263.25244000,165591.23485820,0
2020-07-23 14:11:00,603.94000000,638.97000000,598.78000000,629.24000000,170.11505000,2020-07-23 14:11:59.999,105106.35725700,437,117.44464000,72673.44823910,0
2020-07-23 14:12:00,629.66000000,638.00000000,588.67000000,600.20000000,170.07584000,2020-07-23 14:12:59.999,102647.07551850,386,73.83350000,44547.99682290,0
2020-07-23 14:13:00,600.20000000,608.00000000,569.99000000,585.92000000,362.53097000,2020-07-23 14:13:59.999,213169.09918450,541,134.44495000,78834.34946890,0
2020-07-23 14:14:00,590.65000000,599.00000000,577.74000000,589.94000000,166.89166000,2020-07-23 14:14:59.999,97997.72323150,249,89.33266000,52507.83993410,0
2020-07-23 14:15:00,589.93000000,589.93000000,570.00000000,580.05000000,116.40243000,2020-07-23 14:15:59.999,67239.11517260,182,38.64027000,22398.67275050,0
2020-07-23 14:16:00,585.97000000,594.00000000,575.00000000,588.90000000,103.87461000,2020-07-23 14:16:59.999,60637.25196790,226,63.51027000,37155.90655470,0
2020-07-23 14:17:00,585.99000000,588.91000000,564.69000000,573.00000000,87.24395000,2020-07-23 14:17:59.999,49849.87071890,215,12.49931000,7195.87348690,0
2020-07-23 14:18:00,570.00000000,585.00000000,558.32000000,581.19000000,112.56595000,2020-07-23 14:18:59.999,64166.53709110,194,53.68234000,30827.47051450,0
2020-07-23 14:19:00,580.00000000,591.60000000,573.96000000,588.21000000,75.34275000,2020-07-23 14:19:59.999,43925.51224180,136,41.54678000,24295.69140760,0
2020-07-23 14:20:00,581.83000000,594.58000000,575.75000000,581.83000000,170.65448000,2020-07-23 14:20:59.999,100278.94937020,250,142.90716000,84066.60843290,0
2020-07-23 14:21:00,581.83000000,587.27000000,570.00000000,570.00000000,111.92602000,2020-07-23 14:21:59.999,64519.67041380,198,16.34917000,9502.71635960,0
2020-07-23 14:22:00,573.54000000,583.00000000,573.54000000,580.87000000,23.79670000,2020-07-23 14:22:59.999,13787.08693220,88,15.48384000,8987.44918850,0
2020-07-23 14:23:00,581.77000000,583.00000000,580.94000000,583.00000000,45.41480000,2020-07-23 14:23:59.999,26462.50303120,104,41.25913000,24044.58785920,0
2020-07-23 14:24:00,584.88000000,594.63000000,584.00000000,592.47000000,175.95810000,2020-07-23 14:24:59.999,103602.04918420,118,126.27610000,74366.94588730,0
2020-07-23 14:25:00,594.63000000,600.00000000,592.49000000,599.12000000,139.36039000,2020-07-23 14:25:59.999,83273.71327220,185,106.28618000,63555.55732580,0
2020-07-23 14:26:00,599.12000000,607.24000000,592.16000000,598.17000000,139.95722000,2020-07-23 14:26:59.999,84225.47974750,311,97.67683000,58875.63230590,0
2020-07-23 14:27:00,593.24000000,593.24000000,583.00000000,589.00000000,103.55565000,2020-07-23 14:27:59.999,60858.86229980,146,42.62754000,25045.68071050,0
2020-07-23 14:28:00,590.23000000,590.23000000,583.44000000,583.44000000,55.80885000,2020-07-23 14:28:59.999,32792.59603200,102,20.60738000,12104.61682260,0
2020-07-23 14:29:00,583.41000000,590.25000000,573.00000000,575.12000000,125.80891000,2020-07-23 14:29:59.999,72839.62906780,200,26.81276000,15545.68341690,0
2020-07-23 14:30:00,575.38000000,578.10000000,574.01000000,577.00000000,16.52394000,2020-07-23 14:30:59.999,9519.03297980,54,6.62047000,3818.85415980,0
2020-07-23 14:31:00,578.89000000,578.92000000,574.06000000,576.18000000,34.67342000,2020-07-23 14:31:59.999,19999.57418090,59,12.47990000,7201.39828830,0
2020-07-23 14:32:00,576.02000000,576.02000000,567.89000000,570.93000000,112.71811000,2020-07-23 14:32:59.999,64254.25715420,256,30.87523000,17606.23512220,0
2020-07-23 14:33:00,573.27000000,573.27000000,567.90000000,568.54000000,13.28287000,2020-07-23 14:33:59.999,7580.15105440,43,7.71986000,4410.65961100,0
2020-07-23 14:34:00,570.99000000,571.68000000,570.99000000,571.67000000,13.62457000,2020-07-23 14:34:59.999,7784.33278580,20,11.20035000,6399.28171840,0
2020-07-23 14:35:00,571.96000000,574.70000000,571.96000000,574.00000000,29.37739000,2020-07-23 14:35:59.999,16812.92539810,26,19.95905000,11423.01969170,0
2020-07-23 14:36:00,574.00000000,578.32000000,574.00000000,574.00000000,18.09046000,2020-07-23 14:36:59.999,10408.67267280,61,6.07269000,3496.23295260,0
2020-07-23 14:37:00,572.07000000,575.59000000,571.97000000,574.07000000,27.88164000,2020-07-23 14:37:59.999,16002.89397000,44,15.30852000,8797.52502500,0
2020-07-23 14:38:00,574.07000000,574.07000000,571.97000000,571.97000000,3.63118000,2020-07-23 14:38:59.999,2077.54396760,7,0.29999000,172.14322330,0
2020-07-23 14:39:00,571.97000000,573.20000000,570.00000000,573.20000000,17.18771000,2020-07-23 14:39:59.999,9817.35630800,40,8.93779000,5110.44654620,0
2020-07-23 14:40:00,572.68000000,573.20000000,571.97000000,573.20000000,11.93814000,2020-07-23 14:40:59.999,6841.31807990,13,11.80934000,6767.62737760,0
