open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2018-06-11 11:30:00,0.05000000,0.05000000,0.04522000,0.04799000,407027.10000000,2018-06-11 11:30:59.999,19216.05742300,20,223360.30000000,10717.36277600,0
2018-06-11 11:31:00,0.04797000,0.04806000,0.04653000,0.04799000,417651.70000000,2018-06-11 11:31:59.999,20033.29476000,39,235784.70000000,11314.73784900,0
2018-06-11 11:32:00,0.04799000,0.04900000,0.04768000,0.04880000,74976.80000000,2018-06-11 11:32:59.999,3639.58963900,21,74975.90000000,3639.54672700,0
2018-06-11 11:33:00,0.04780000,0.04869000,0.04780000,0.04859000,62556.60000000,2018-06-11 11:33:59.999,3007.43598700,10,6858.30000000,333.71081400,0
2018-06-11 11:34:00,0.04848000,0.04849000,0.04786000,0.04786000,34178.80000000,2018-06-11 11:34:59.999,1654.91810000,9,27454.20000000,1330.65828800,0
2018-06-11 11:35:00,0.04800000,0.04800000,0.04774000,0.04783000,181599.10000000,2018-06-11 11:35:59.999,8689.47980400,25,101897.10000000,4876.31647000,0
2018-06-11 11:36:00,0.04786000,0.04786000,0.04775000,0.04775000,76660.20000000,2018-06-11 11:36:59.999,3664.87597400,12,43501.90000000,2081.56714500,0
2018-06-11 11:37:00,0.04785000,0.04786000,0.04784000,0.04784000,38791.40000000,2018-06-11 11:37:59.999,1856.34067300,5,38791.40000000,1856.34067300,0
2018-06-11 11:38:00,0.04780000,0.04780000,0.04780000,0.04780000,4665.30000000,2018-06-11 11:38:59.999,223.00134000,2,4665.30000000,223.00134000,0
2018-06-11 11:39:00,0.04779000,0.04779000,0.04770000,0.04775000,86595.70000000,2018-06-11 11:39:59.999,4134.28087000,10,69158.50000000,3302.36141500,0
2018-06-11 11:40:00,0.04779000,0.04783000,0.04771000,0.04771000,5986.60000000,2018-06-11 11:40:59.999,286.06000600,3,3680.00000000,176.01212000,0
2018-06-11 11:41:00,0.04782000,0.04782000,0.04782000,0.04782000,1.20000000,2018-06-11 11:41:59.999,0.05738400,1,1.20000000,0.05738400,0
2018-06-11 11:42:00,0.04775000,0.04775000,0.04775000,0.04775000,25404.70000000,2018-06-11 11:42:59.999,1213.07442500,5,25404.70000000,1213.07442500,0
2018-06-11 11:43:00,0.04775000,0.04778000,0.04775000,0.04775000,64781.80000000,2018-06-11 11:43:59.999,3094.25631700,10,45912.60000000,2192.69580500,0
2018-06-11 11:44:00,0.04783000,0.04784000,0.04783000,0.04783000,20055.90000000,2018-06-11 11:44:59.999,959.30018200,4,20055.90000000,959.30018200,0
2018-06-11 11:45:00,0.04775000,0.04775000,0.04770000,0.04773000,76588.20000000,2018-06-11 11:45:59.999,3655.89689500,12,2824.80000000,134.88420000,0
2018-06-11 11:46:00,0.04783000,0.04783000,0.04773000,0.04782000,44360.00000000,2018-06-11 11:46:59.999,2120.76967000,9,29107.30000000,1392.17215900,0
2018-06-11 11:47:00,0.04782000,0.04782000,0.04781000,0.04781000,80559.10000000,2018-06-11 11:47:59.999,3852.19345000,8,44475.20000000,2126.66135200,0
2018-06-11 11:48:00,0.04775000,0.04781000,0.04775000,0.04775000,16263.40000000,2018-06-11 11:48:59.999,777.23443400,5,10951.40000000,523.58643400,0
2018-06-11 11:49:00,0.04781000,0.04781000,0.04773000,0.04773000,16515.00000000,2018-06-11 11:49:59.999,788.53335400,10,2.00000000,0.09562000,0
2018-06-11 11:50:00,0.04773000,0.04773000,0.04773000,0.04773000,3661.80000000,2018-06-11 11:50:59.999,174.77771400,1,0.00000000,0.00000000,0
2018-06-11 11:51:00,0.04781000,0.04786000,0.04781000,0.04786000,30602.30000000,2018-06-11 11:51:59.999,1463.65801400,9,21902.30000000,1047.52461400,0
2018-06-11 11:52:00,0.04786000,0.04786000,0.04784000,0.04784000,51730.90000000,2018-06-11 11:52:59.999,2475.63344000,4,50013.00000000,2393.44910400,0
2018-06-11 11:53:00,0.04786000,0.04786000,0.04784000,0.04784000,7999.40000000,2018-06-11 11:53:59.999,382.69146400,5,4702.80000000,224.98212000,0
2018-06-11 11:54:00,0.04784000,0.04784000,0.04784000,0.04784000,13895.10000000,2018-06-11 11:54:59.999,664.74158400,4,2760.10000000,132.04318400,0
2018-06-11 11:55:00,0.04786000,0.04799000,0.04785000,0.04792000,77710.40000000,2018-06-11 11:55:59.999,3724.21939700,10,37908.80000000,1816.94744500,0
2018-06-11 11:56:00,0.04795000,0.04795000,0.04784000,0.04784000,434395.00000000,2018-06-11 11:56:59.999,20822.06595800,21,18491.30000000,885.36344400,0
2018-06-11 11:57:00,0.04784000,0.04785000,0.04781000,0.04785000,494076.70000000,2018-06-11 11:57:59.999,23636.14385400,21,270235.10000000,12927.19436400,0
2018-06-11 11:58:00,0.04796000,0.04796000,0.04786000,0.04786000,36414.00000000,2018-06-11 11:58:59.999,1745.45494000,7,9114.00000000,437.02744000,0
2018-06-11 11:59:00,0.04798000,0.04800000,0.04787000,0.04787000,62168.00000000,2018-06-11 11:59:59.999,2980.53156600,6,18537.50000000,889.67358300,0
2018-06-11 12:00:00,0.04787000,0.04788000,0.04787000,0.04787000,36547.00000000,2018-06-11 12:00:59.999,1749.71374500,8,0.00000000,0.00000000,0
2018-06-11 12:01:00,0.04787000,0.04788000,0.04786000,0.04787000,9617.90000000,2018-06-11 12:01:59.999,460.41220300,4,500.00000000,23.94000000,0
2018-06-11 12:02:00,0.04788000,0.04830000,0.04752000,0.04763000,595888.40000000,2018-06-11 12:02:59.999,28553.75571500,48,377977.60000000,18135.77529300,0
2018-06-11 12:03:00,0.04763000,0.04763000,0.04763000,0.04763000,0.00000000,2018-06-11 12:03:59.999,0.00000000,0,0.00000000,0.00000000,0
2018-06-11 12:04:00,0.04767000,0.04767000,0.04765000,0.04765000,9943.00000000,2018-06-11 12:04:59.999,473.82763800,5,7215.80000000,343.87655800,0
2018-06-11 12:05:00,0.04763000,0.04767000,0.04753000,0.04767000,82898.20000000,2018-06-11 12:05:59.999,3950.20788000,9,72478.10000000,3453.71170100,0
2018-06-11 12:06:00,0.04767000,0.04787000,0.04767000,0.04775000,46090.80000000,2018-06-11 12:06:59.999,2202.04318200,7,12432.80000000,594.87368200,0
2018-06-11 12:07:00,0.04775000,0.04775000,0.04753000,0.04755000,263228.80000000,2018-06-11 12:07:59.999,12560.43778400,12,0.00000000,0.00000000,0
2018-06-11 12:08:00,0.04784000,0.04784000,0.04701000,0.04720000,122835.60000000,2018-06-11 12:08:59.999,5813.98971400,15,5002.50000000,236.11960000,0
2018-06-11 12:09:00,0.04720000,0.04720000,0.04701000,0.04706000,4661.50000000,2018-06-11 12:09:59.999,219.27027400,3,0.00000000,0.00000000,0
2018-06-11 12:10:00,0.04770000,0.04770000,0.04770000,0.04770000,1137.70000000,2018-06-11 12:10:59.999,54.26829000,2,1137.70000000,54.26829000,0
2018-06-11 12:11:00,0.04750000,0.04787000,0.04709000,0.04770000,275938.10000000,2018-06-11 12:11:59.999,13182.80322900,21,208443.60000000,9965.64475700,0
2018-06-11 12:12:00,0.04756000,0.04756000,0.04701000,0.04756000,15733.70000000,2018-06-11 12:12:59.999,746.57504100,6,2187.30000000,104.02798800,0
